id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21484031,Classic 2BR in Downtown Crossing by Sonder,12243051,Sonder,,Chinatown,42.35131312174578,-71.06156953714442,Entire home/apt,543,2,5,2018-06-11,0.81,326,228
21484100,Playful 3BR in Brighton by Sonder,12243051,Sonder,,Brighton,42.33964904005426,-71.15706576208312,Entire home/apt,205,2,6,2018-08-17,0.63,326,63
21484706,LARGE Room just 3 mins walk to Train with cool A/C,156053359,Ken,,Dorchester,42.29110981564933,-71.06522898026445,Private room,65,2,27,2018-08-23,2.38,6,283
21486679,"Stylish Studio in the Back Bay, on Newbury St, .#9",22348222,Maverick,,Back Bay,42.34938541130292,-71.08193157585231,Entire home/apt,150,3,29,2018-10-05,3.39,55,328
21486812,Chic 1BR in Theater District by Sonder,12243051,Sonder,,Downtown,42.35181824143483,-71.0655565543574,Entire home/apt,274,2,8,2018-09-23,1.42,326,1
21487043,Central Studio in Downtown Crossing by Sonder,12243051,Sonder,,Downtown,42.356032695091756,-71.05806954790872,Entire home/apt,281,2,5,2018-08-24,0.97,326,206
21490776,Sunny 2 bedroom apartment at Beacon Hill,45840601,Raul,,Beacon Hill,42.359457512030744,-71.06598393302562,Entire home/apt,125,2,0,,,1,0
21495950,Private Condo in Historic Fort Hill,12279865,Andrew,,Roxbury,42.325696325275416,-71.09030919137724,Entire home/apt,90,1,24,2018-09-03,6.32,1,114
21498151,Artsy 3BR in Brighton by Sonder,12243051,Sonder,,Brighton,42.33954658906998,-71.15628340946131,Entire home/apt,205,2,7,2018-08-22,1.00,326,70
21498860,102 Chandler Street Apartment 9,82529160,Mario,,South End,42.346649039080795,-71.07402892357231,Entire home/apt,105,2,21,2018-10-10,2.32,31,20
21498861,102 Chandler Street Apartment 5,82529160,Mario,,South End,42.345885857993906,-71.073035493418,Entire home/apt,115,2,13,2018-09-12,1.31,31,1
21498863,102 Chandler Street Apartment 7,82529160,Mario,,South End,42.346748706693305,-71.07391174306696,Entire home/apt,115,2,21,2018-09-06,1.99,31,0
21498969,102 Chandler Street Apartment 8,82529160,Mario,,South End,42.34525448477116,-71.07294442009027,Entire home/apt,115,2,8,2018-09-06,1.26,31,1
21502692,North End One Bedroom Downtown Boston,1118374,Matthew,,North End,42.365002729137956,-71.05587578626466,Entire home/apt,256,1,91,2018-09-26,7.84,38,338
21505991,Comfortable private room/Fast booking and checkin!,47338156,Rosy,,Allston,42.35427998887196,-71.12826814484559,Private room,55,7,2,2017-11-05,0.17,1,0
21513775,Spacious North End Apt,49263224,Anna,,North End,42.361314537113,-71.05254437283385,Private room,100,2,3,2017-11-05,0.26,1,0
21514830,Center of Fenway Beautiful Entire 1Br Apt,147913585,Onder,,Fenway,42.343765382409316,-71.0982695907926,Entire home/apt,126,1,98,2018-09-21,8.57,2,313
21515803,Whimsical Condo by Boston's Back Bay!,4962900,Stay Alfred,,Back Bay,42.34609539093488,-71.07937455459276,Entire home/apt,429,1,2,2018-06-10,0.36,51,226
21519079,Boston-Bringham Circle and Long-Wood Medical R-2,154907516,Shedly,,Mission Hill,42.332241750925974,-71.10209999935051,Private room,70,1,10,2018-08-05,0.92,2,224
21524811,Posh 1BR in Downtown Crossing by Sonder,12243051,Sonder,,Downtown,42.35160689933933,-71.0631985869068,Entire home/apt,328,2,5,2018-09-07,0.46,326,211
21527161,102 Chandler Street Apartment 2,82529160,Mario,,South End,42.345439946124756,-71.07284434916897,Entire home/apt,167,2,17,2018-09-26,1.79,31,0
21528608,Slice of Boston,153648549,Eastcoast,,Chinatown,42.35122173080716,-71.05944471844667,Entire home/apt,119,2,13,2018-08-02,1.25,1,0
21530359,"Cozy Private Room, steps to gorgeous Jamaica Pond!",4389812,Megan,,Jamaica Plain,42.31627882390858,-71.11403008618561,Private room,48,2,24,2018-10-04,3.12,1,31
21536088,Super Convenient BLUE room in 2BR  Renovated!!,226220,Sevil,,Brighton,42.3565579717196,-71.16466290876248,Private room,150,1,0,,,4,165
21536254,Stunning 2 Bedroom Penthouse Historic Charlestown,28185704,Joshua,,Charlestown,42.37780046781738,-71.06445751896038,Entire home/apt,298,2,2,2018-08-01,0.18,2,0
21544687,"City Side - Convention Center,  Roof Deck and more",156628829,Paulette,,South Boston Waterfront,42.3385677491673,-71.04414384635545,Entire home/apt,600,3,7,2018-09-28,0.99,1,314
21546411,Bright 3BR in Brighton by Sonder,12243051,Sonder,,Brighton,42.34068371054728,-71.15660726266806,Entire home/apt,201,2,5,2018-07-05,0.48,326,60
21546827,Spacious 3BR in Brighton by Sonder,12243051,Sonder,,Brighton,42.3411135226156,-71.15690845647315,Entire home/apt,203,2,6,2018-09-24,0.61,326,50
21547645,Classic 3BR in Brighton by Sonder,12243051,Sonder,,Brighton,42.34035907290158,-71.15792260992542,Entire home/apt,205,2,13,2018-09-24,1.14,326,58
21547937,Heart of Boston | Walk Everywhere,1186415,Robert,,Back Bay,42.34971967883291,-71.07312872042526,Private room,150,1,31,2018-10-09,5.31,1,244
21548228,Sleek 2BR in Downtown Crossing by Sonder,12243051,Sonder,,Downtown,42.35191672426439,-71.06298497416955,Entire home/apt,543,2,6,2018-04-29,0.53,326,227
21548729,Cosy Private Room in University Area,28682229,Malte,,Mission Hill,42.33113278181264,-71.09641000870157,Private room,40,20,3,2018-08-31,0.28,1,0
21548957,"QUIET SUNNY 1BR LOCATION, CHARM and CONVENIENCE",13918140,Mary,,South End,42.34241968340378,-71.08141172698717,Entire home/apt,200,1,108,2018-10-07,9.53,3,123
21550485,"Large studio space, private entrance and walk to T",21890476,Jason,,Dorchester,42.317936636685,-71.05689354820588,Entire home/apt,100,2,44,2018-10-01,3.95,1,36
21551519,Sea Green Room w/ AC remote,124799156,Maureen,,Roslindale,42.27568207562823,-71.11985007499986,Private room,59,2,7,2018-08-18,0.65,5,337
21554511,3bdrm next to Airport and Downtown!,156730180,Oslo,,East Boston,42.38148827483764,-71.01901626088896,Entire home/apt,209,1,92,2018-09-30,8.07,3,160
21559343,2 bed apartment near Airport and Downtown.,156769006,Donal,,East Boston,42.38366602981135,-71.01557164177979,Entire home/apt,140,1,36,2018-09-28,3.36,1,7
21562776,Wondrous Back Bay Condo!,4962900,Stay Alfred,,Back Bay,42.34611068536799,-71.08020306851625,Entire home/apt,429,2,8,2018-09-03,0.98,51,258
21563175,Spectacular Boston Condo!,4962900,Stay Alfred,,Back Bay,42.34652895166271,-71.07792517313825,Entire home/apt,429,2,0,,,51,157
21563331,HUGE Beacon Hill studio with lots of CHARM!!!,22110106,Chris,,Beacon Hill,42.35892348189176,-71.06646737468922,Entire home/apt,180,1,80,2018-10-09,7.04,9,45
21564559,Charming 3 Bedroom with Parking,37673574,Valentina,,Allston,42.35498202205469,-71.13497683388717,Entire home/apt,250,1,3,2018-04-02,0.30,9,71
21574183,Columbus Ave one bedroom perfection!!!!,22110106,Chris,,South End,42.34095872724218,-71.08102373911967,Entire home/apt,170,1,39,2018-09-01,3.59,9,0
21576187,Cozy Apartment near BC w/parking and keyless entry,156907137,Murat,,Brighton,42.34783797980887,-71.16644214935673,Entire home/apt,78,1,41,2018-10-10,4.09,3,42
21576714,New Exclusive Cliff Apartments in Longwood area,18202088,Luxurious,,Mission Hill,42.328584767877636,-71.10352903729687,Entire home/apt,499,2,6,2018-06-06,0.59,26,364
21580648,Beantown Pad,90113276,Jim,,Allston,42.34985636464855,-71.13082902850684,Entire home/apt,100,1,11,2018-09-13,1.01,3,338
21581412,Cozy apartment in central South Boston location.,142073813,Muhammad,,South Boston,42.33172579763821,-71.05445538050546,Entire home/apt,154,1,35,2018-09-27,3.21,1,159
21587715,2BR Place to Crash in Brighton,63287626,Bill,,Brighton,42.35433086668635,-71.14649629237324,Entire home/apt,80,2,13,2018-09-24,3.28,1,0
21591521,STYLISH PENTHOUSE IN CONVENIENT BOSTON LOCATION,37673574,Valentina,,Allston,42.35542123854852,-71.13519905309693,Entire home/apt,430,3,15,2018-08-24,1.50,9,0
